Review,Like,Haha,Angry,Date,Subjectivity,Polarity,Score,Client
worst customer service in the food industry. no way to cancel orders on the app. no one to answer phones with customer service. employees are lazy and won't cook food. I will never go to another kfc,3,0,0,26 December 2021 at 14:38,1.0,-0.625,-0.625,KFC
place is a dump every location. they overstuffed a drive thru bag with an uncapped gravy that ended up exploding the bag and spilling on his lap and burning his leg and hands and because he said the f word one time the manager kicked him out. absolute cess pit I'll never visit another KFC as long as I live. me or my 7 family members that visited weekly.,1,0,0,11 December 2021 at 16:35,0.6,0.09545454545454546,0.057272727272727274,KFC
Ordered 2 dinners cost $23.00 I wanted 2 legs they were so small I didn’t even get filled up. Last time I will ever eat here.,1,0,0,17 December 2021 at 11:19,0.45555555555555555,0.05000000000000001,0.022777777777777782,KFC
Service is terrible with long wait times and half the menu is not available. Got 8 piece meal and chicken was under cooked,0,0,0,24 December 2021 at 13:46,0.5833333333333334,-0.4033333333333333,-0.23527777777777778,KFC
It takes 20 minutes to place an order and then you need to wait for it to pikes only has a staff of three and still takes forever. St.Croix usvi FREDERIKSTED kfc,0,0,0,26 December 2021 at 16:22,1.0,0.0,0.0,KFC
Do not ever go to the Sebastian Florida location!!!! Gone there twice in the past two months. First time was told they didn’t have enough workers so they wouldn’t take my order and tonight I placed an order on the app for $50 and when I got there said they had no chicken or any KFC items only Taco Bell. Now I get to wait 3 days and pray I get my refund.,0,0,0,22 December 2021 at 11:15,0.6066666666666667,0.06,0.0364,KFC
"I preordered online and paid for $63 worth of chicken when we arrived at the store with our prepaid receipt they were told they did not have a order and would not honor our receipt even when we explained that we had the receive with their name their phone number their address for address for yesterday's date prepaid they absolutely refused to honor our order are ordered and we had no choice but to reproach the chicken as we had a huge family gathering for our and we gathering...
See more",1,0,0,17 December 2021 at 20:27,0.7166666666666668,0.033333333333333354,0.023888888888888907,KFC
I paid for a 2 piece white meal and tenders. I got 2 thighs and popcorn chicken. The drive thru was Ridiculous. The workers were too busy playing around.,0,0,0,2 January at 03:17,0.5625,-0.20833333333333334,-0.1171875,KFC
Went to KFC on 521 ordered a 16 and they packed burnt chicken on top of the fresh chicken. Ordered two half gallon sweet teas and received one sweet one unsweetened like ugh called the store and the manager had an attitude so I hung up wasn’t in the mood to argue or listen to her staff lie in the background.,1,0,0,21 December 2021 at 16:16,0.6238095238095237,0.019047619047619042,0.011882086167800449,KFC
Absolutely the worst place in Batesville to eat! Half the time they don't even have what's on the menu! They close early open late and only offer parts of the menu! And when you pay for a pick up and arrive to pick it up the doors are locked and they won't answer. You call no answer! I will not be eating here ever again!,2,0,0,8 December 2021 at 13:14,0.6380952380952382,-0.17261904761904762,-0.11014739229024945,KFC
Greasy slop. Tried it 3 times over 6 months. Tossed in trash. The chicken used to be quite good now just slop. Kept hoping it was just bad employee. Just a bad company.,1,0,0,15 December 2021 at 10:17,0.7208333333333333,-0.32499999999999996,-0.2342708333333333,KFC
"Probably the worst KFC in the state of Georgia. What does this location have. No Hot sauce NO GRAVY! NO Chicken little Buns. YOU MIGHT AS WELL CLOSE THE LOCATION DOWN. Absolute TRASH
Suwanee Georgia",1,0,0,1 January at 15:56,0.7481481481481481,-0.16655092592592594,-0.12460476680384087,KFC
This is what I got in my wings and threw the whole $50 order in the garbage bc everything is fried together! Will never go back after this. I posted to messenger and they didn’t respond. I posted to their site and no response. I posted everywhere you can connect with KFC and not a word!,1,0,0,27 December 2021 at 17:40,0.2,0.125,0.025,KFC
about to post a video of the trash person that was behind the counter. very poor representation of KFC. I reached out to customer service to file a complaint. they don't care,2,0,0,10 December 2021 at 20:29,0.5599999999999999,-0.4066666666666667,-0.22773333333333332,KFC
Ordered online for delivery. Order was missing both 1/2 gallon drinks. Contacted the online assistance since store wouldn't awnser the phone. Was informed they allow would refund no send missing items,1,0,0,2 December 2021,0.05,-0.2,-0.010000000000000002,KFC
Well the food I received yesterday looked & taste funny! I didn’t taste the chicken It looked like they refried It 10 times. The fries tasted like they were fried In a toilet bowl. Tenders were hard as hell. I feed this to a dog! It was soooo nasty. I didn’t eat It. Garbage and waste of money!,2,0,0,8 December 2021 at 15:21,0.5819444444444445,-0.32256944444444446,-0.18771749614197533,KFC
Last night my family ordered KFC for dinner. Half of our meal was missing when we got home. We tried to call but after 8-10 phone calls we still did not receive an answer. It is absolutely unacceptable.,1,0,0,3 December 2021,0.29583333333333334,-0.04166666666666667,-0.01232638888888889,KFC
"KFC Armory Dr Franklin VA
The worst customer service I've ever experienced in any type of business. Incompetent rude slow and lazy.",0,0,0,10 December 2021 at 18:55,0.7111111111111111,-0.2333333333333333,-0.16592592592592592,KFC
Order was wrong 3 time gave up rude staff,1,0,0,2 January at 17:24,0.75,-0.4,-0.30000000000000004,KFC
KFC in my town is awful. They don’t put the order in right won’t take incorrect drinks back and won’t make the order right either. I paid $20 and only got half the food I was supposed to. I doubt I ever get a refund but I can promise I never go back and tell everyone I know how bad this company is.,1,0,0,2 December 2021,0.488095238095238,-0.16190476190476188,-0.07902494331065757,KFC
My family and I ordered food at the drive thru. The employee that was taking the order let us know that it was going to take 15 minutes for our fish order and we could wait if we wanted. We said yes and waited longer than 15 minutes. When my husband went up to the door to look in he noticed at least two of the employees sitting on the counter. The reason the fish was going to take 15 minutes was so these “employees” could take a 15 minute break! The only reason they removed themselves from the counter was because a customer came inside to order! We don’t get this food often but now it will be even less as in not at all!,0,0,0,4 December 2021 at 13:31,0.4888888888888889,-0.19444444444444442,-0.09506172839506172,KFC
Absolutely disgusting chicken wasn’t even edible! We had to wait 45 minutes just to get the food and it was cold old and nasty! New Boston Ohio,2,0,0,21 December 2021 at 14:19,0.7674242424242425,-0.5189393939393939,-0.3982466712580349,KFC
they are very rude when asked if they had any sweet tea in the back the cashier said um I don't know so when asked for a refund on my large drink the manager stepped in an said it will take a minute to make it I told her I just want a refund for my large drink so she asked me for my ticket and my change back so I handed it to her and my food came to the counter and the manager said never mind she doesn't want it anymore and I told her I wanted my food but a refund on my drink and her assistant manager stepped in and said if they refund my drink I would pay 6.00 more for my food poor management and poor customer service never going back,2,0,0,5 December 2021 at 10:28,0.39871428571428574,0.008857142857142852,0.0035314693877551,KFC
"This review is for the Main Street location in Lexington NC
I ordered the 8 piece tenders with sides.
Service was fine but the chicken tenders were barley warm dry and rubbery.
The other sides were fine.
Too much money for chicken that bad.",1,0,0,29 November 2021,0.5675000000000001,-0.029166666666666653,-0.01655208333333333,KFC
"Cashier wasn't friendly at all during my ordering process I proceeded to order 4 chicken tender meals  I asked for the tenders to be cooked fresh and I didn't mind waiting the cashier ask me to pull in the parking lot to wait for my order I proceeded
to park right in front the window so I could see the cashier in the puw I noticed that he was making my fountain drinks he took one of my drinks and drank some out of the cup and hunched his shoulders place the lid on the cup ...
See more",1,1,1,2 December 2021,0.5971428571428572,0.17214285714285715,0.10279387755102043,KFC
Ethan was so polite and was a extremely friendly cashier. You need more like him,0,0,0,3 December 2021,0.5,0.4375,0.21875,KFC
"I really love KFC but the customer service is Terrible. I had to wait because there was only one person working the register. The young lady finally comes to the register and is just standing there. I said “Oh are you ready to take my order?” No greeting… or any thing…ok. So she takes the order and a few minutes later tell me they are out of wings and breast. I’m like ok. Again she is just standing there. I ask her to give me a refund. She looks indignant and get...
See more",2,0,0,29 November 2021,0.5599999999999999,0.06,0.0336,KFC
"I spent $50 on food only to get home with items missing wrong kind of chicken and was greasy/slimy! There was half an inch of grease in the bottom of the bucket. Now I know how to cook and know chicken is fried but come on I called KFC here in Pikeville KY and was told they would refund half my money I even asked her you are going to refund half my money? She said yes. So I’ll admit it was at least a week an a half but made the trip there ( I live about 25 min away) a...
See more",1,0,0,26 December 2021 at 13:42,0.4940476190476192,-0.13430735930735932,-0.06635423108637396,KFC
